Question 1,Questions 2,Similarity
Admit/Readmit Avoidance: (select all that apply),Admit/Readmit Avoidance: (select all that apply),1
"After delivery, did your baby/babies need to be on a ventilator?","After delivery, did your baby/babies need to be on a ventilator?",1
"After nurse educating member on the COE network, what is the designation of the facility where the member will receive treatment?","After nurse educating member on the COE network, what is the designation of the facility where the member will receive treatment?",1
"Annual wellness visit/physical/checkup status<SPAN style=""POSITION: relative; LINE-HEIGHT: 115%; FONT-FAMILY: 'Georgia', 'serif'; FONT-SIZE: 10.5pt; TOP: 0.5pt; mso-fareast-font-family: Georgia; mso-bidi-font-family: Georgia; mso-ansi-language: EN-US; mso","Annual wellness visit/physical/checkup status<SPAN style=""POSITION: relative; LINE-HEIGHT: 115%; FONT-FAMILY: 'Georgia', 'serif'; FONT-SIZE: 10.5pt; TOP: 0.5pt; mso-fareast-font-family: Georgia; mso-bidi-font-family: Georgia; mso-ansi-language: EN-US; mso",1
"Annual wellness visit/physical/checkup status<SPAN style=""POSITION: relative; LINE-HEIGHT: 115%; FONT-FAMILY: 'Georgia', 'serif'; FONT-SIZE: 10.5pt; TOP: 0.5pt; mso-fareast-font-family: Georgia; mso-bidi-font-family: Georgia; mso-ansi-language: EN-US; mso","Annual wellness visit/physical/checkup status<SPAN style=""POSITION: relative; LINE-HEIGHT: 115%; FONT-FAMILY: 'Georgia', 'serif'; FONT-SIZE: 10.5pt; TOP: 0.5pt; mso-fareast-font-family: Georgia; mso-bidi-font-family: Georgia; mso-ansi-language: EN-US; mso",1
Anxiety  about eating,Anxiety  about eating,1
Are any follow-up screenings needed postpartum?,Are any follow-up screenings needed postpartum?,1
Are there any barriers to care?,Are there any barriers to care?,1
Are there any cultural or religious beliefs and practices that guide how you manage your health?,Are there any cultural or religious beliefs and practices that guide how you manage your health?,1
Are there any difficulties in maintaining your living arrangements due to finances?,Are there any difficulties in maintaining your living arrangements due to finances?,1
Are there areas of your care that you are finding difficult to do on your own?,Are there areas of your care that you are finding difficult to do on your own?,1
"Are there clear passageways throughout the home, free of clutter like paper or boxes?","Are there clear passageways throughout the home, free of clutter like paper or boxes?",1
Are there limitations related to cognitive or judgment deficits and the member will need coaching and guidance?,Are there limitations related to cognitive or judgment deficits and the member will need coaching and guidance?,1
Are there other hazards or unsafe areas in your home not mentioned in this checklist that you are concerned about?,Are there other hazards or unsafe areas in your home not mentioned in this checklist that you are concerned about?,1
"Are there physical barriers to evacuate the home (stairs, elevator)?","Are there physical barriers to evacuate the home (stairs, elevator)?",1
Are you (or legal representative on patient's behalf) willing to discuss your health care?,Are you (or legal representative on patient's behalf) willing to discuss your health care?,1
Are you a threat to yourself or others?,Are you a threat to yourself or others?,1
Are you able to call 911 on your own?,Are you able to call 911 on your own?,1
Are you able to check it that often?,Are you able to check it that often?,1
"Are you able to contact emergency services on your own (e.g. 911, police department)?","Are you able to contact emergency services on your own (e.g. 911, police department)?",1
Are you able to follow the instructions?,Are you able to follow the instructions?,1
Are you able to get out of your home on your own in the event of a fire/disaster?,Are you able to get out of your home on your own in the event of a fire/disaster?,1
Are you able to maintain/adhere to your doctor's dietary instructions?,Are you able to maintain/adhere to your doctor's dietary instructions?,1
Are you able to stick to that diet?,Are you able to stick to that diet?,1
Are you afraid of falling (again)?,Are you afraid of falling (again)?,1
Are you afraid of falling again?,Are you afraid of falling again?,1
Are you allergic to nicotine containing medication?,Are you allergic to nicotine containing medication?,1
Are you being treated for memory loss or have you been told you have serious memory loss?,Are you being treated for memory loss or have you been told you have serious memory loss?,1
Are you being treated for or have you been told you have any of the following?,Are you being treated for or have you been told you have any of the following?,1
Are you concerned about falling?,Are you concerned about falling?,1
Are you confident that you can manage and control your health problems?,Are you confident that you can manage and control your health problems?,1
Are you considered legally blind?,Are you considered legally blind?,1
Are you currently attempting to reduce or quit smoking?,Are you currently attempting to reduce or quit smoking?,1
Are you currently being treated for (anxiety and/or depression)?,Are you currently being treated for (anxiety and/or depression)?,1
Are you currently being treated for anxiety/depression?,Are you currently being treated for anxiety/depression?,1
Are you currently experiencing any pain?,Are you currently experiencing any pain?,1
Are you currently experiencing pain?,Are you currently experiencing pain?,1
Are you currently following a prescribed or recommended diet low in sodium or salt?,Are you currently following a prescribed or recommended diet low in sodium or salt?,1
Are you currently having any problems with the following?,Are you currently having any problems with the following?,1
Are you currently in one of the following?,Are you currently in one of the following?,1
Are you currently on Dialysis?,Are you currently on a sodium restricted diet?,1
Are you currently on a sodium restricted diet?,Are you currently on Dialysis?,1
Are you currently receiving Hospice care?,Are you currently receiving Hospice care?,1
Are you currently scheduled to receive radiation treatment?,Are you currently scheduled to receive radiation treatment?,1
Are you currently taking any medications (prescribed and/or OTC)?,Are you currently taking any medications (prescribed and/or OTC)?,1
Are you currently talking with the member?,Are you currently talking with the member?,1
Are you currently using your cane or walker?,Are you currently using your cane or walker?,1
Are you currently working or retired?,Are you currently working or retired?,1
Are you experiencing any adverse reactions or side effects to your medications?,Are you experiencing any adverse reactions or side effects to your medications?,1
"Are you experiencing any financial concerns to meet your health care needs (medications, paying for treatments, devices/durable medical equipment)?","Are you experiencing any financial concerns to meet your health care needs (medications, paying for treatments, devices/durable medical equipment)?",1
Are you experiencing any hearing or vision issues?,Are you experiencing any hearing or vision issues?,1
Are you experiencing any limitations to your daily activities? (ADL's),Are you experiencing any limitations to your daily activities? (ADL's),1
Are you experiencing any of the following with this pregnancy?,Are you experiencing any of the following with this pregnancy?,1
Are you experiencing any of the following with this pregnancy? (check all that apply),Are you experiencing any of the following with this pregnancy? (check all that apply),1
Are you experiencing any side effects?,Are you experiencing any side effects?,1
"Are you experiencing any sleep issues (falling asleep, staying asleep, or excessive sleepiness)?","Are you experiencing any sleep issues (falling asleep, staying asleep, or excessive sleepiness)?",1
"Are you experiencing issues with weakness, walking, balance or falling?","Are you experiencing issues with weakness, walking, balance or falling?",1
Are you familiar with your benefit's Wellness Programs and/or your Community Resources?&nbsp;,Are you familiar with your benefit's Wellness Programs and/or your Community Resources?&nbsp;,1
Are you having any feeding issues?,Are you having any feeding issues?,1
Are you having any of the following issues taking your medications?,Are you having any of the following issues taking your medications?,1
Are you having any pain?,Are you having any pain?,1
"Are you having any symptoms of infection, rejection or complications? (early post discharge)","Are you having any symptoms of infection, rejection or complications? (early post discharge)",1
"Are you having any symptoms of infection, rejection or complications? (late post discharge)","Are you having any symptoms of infection, rejection or complications? (late post discharge)",1
"Are you having any trouble getting the care you need because of issues like finances, transportation, lack of community programs or because you are a caregiver yourself?","Are you having any trouble getting the care you need because of issues like finances, transportation, lack of community programs or because you are a caregiver yourself?",1
Are you having any trouble remembering things?,Are you having any trouble remembering things?,1
Are you having any trouble sleeping?,Are you having any trouble sleeping?,1
Are you having trouble getting care you need because of:,Are you having trouble getting care you need because of:,1
Are you independent with ADLs?,Are you independent with ADLs?,1
Are you independent with ambulation?,Are you independent with ambulation?,1
Are you limited in any way from doing any type of activities on your own because of a health condition?,Are you limited in any way from doing any type of activities on your own because of a health condition?,1
Are you limited in...    (check all that apply),Are you limited in...    (check all that apply),1
Are you planning a Cesarean Birth?,Are you planning a Cesarean Birth?,1
Are you planning an induction?,Are you planning an induction?,1
Are you pregnant or breastfeeding?  (females under 50)?,Are you pregnant or breastfeeding?  (females under 50)?,1
Are you receiving kidney dialysis?,Are you receiving kidney dialysis?,1
Are you seeing a cardiologist?,Are you seeing a cardiologist?,1
Are you speaking with Parent/Guardian or Hospital Staff ?,Are you speaking with Parent/Guardian or Hospital Staff ?,1
Are you still attending counseling,Are you still attending counseling,1
Are you still attending support groups,Are you still attending support groups,1
"Are you subscribed to a personal emergency response system, like Lifeline?","Are you subscribed to a personal emergency response system, like Lifeline?",1
Are you taking all of your medications at the frequency instructed by your physician?,Are you taking all of your medications at the frequency instructed by your physician?,1
Are you taking medication(s) according to how it was prescribed?,Are you taking medication(s) according to how it was prescribed?,1
Are you taking medication(s) according to how it was prescribed? (anxiety/depression),Are you taking medication(s) according to how it was prescribed? (anxiety/depression),1
Are you taking or do you plan to take childbirth or prenatal classes?,Are you taking or do you plan to take childbirth or prenatal classes?,1
Are you taking prenatal education/infant safety classes?,Are you taking prenatal education/infant safety classes?,1
Are you taking prescription medication for asthma or depression?,Are you taking prescription medication for asthma or depression?,1
Are you taking your asthma medication (pills/inhaler) as often as your doctor recommended?,Are you taking your asthma medication (pills/inhaler) as often as your doctor recommended?,1
Are you taking your medication as often as your doctor recommended?,Are you taking your medication as often as your doctor recommended?,1
Are you taking your pain medications as prescribed?,Are you taking your pain medications as prescribed?,1
Are you trying to quit or cut back on (smoking/chewing/dipping)?,Are you trying to quit or cut back on (smoking/chewing/dipping)?,1
Are you under the care of a cardiologist (heart doctor)?,Are you under the care of a cardiologist (heart doctor)?,1
Are you unsteady when you walk? (with or without the use of an assistive device),Are you unsteady when you walk? (with or without the use of an assistive device),1
Are you unsteady when you walk? (with or without the use of device),Are you unsteady when you walk? (with or without the use of device),1
Are you up to date on your other vaccines?,Are you up to date on your other vaccines?,1
Are you using any specific products or methods to help you quit? (check all that apply),Are you using any specific products or methods to help you quit? (check all that apply),1
Are you using your assistive device per your physician's instruction?,Are you using your assistive device per your physician's instruction?,1
Are you willing to answer questions/review program?,Are you willing to answer questions/review program?,1
Are you willing to consider quitting or cutting back?,Are you willing to consider quitting or cutting back?,1
Are your symptoms currently under control?,Are your symptoms currently under control?,1
Area of focus:,Area of focus:,1
"Ascertain the member's description of symptoms and, based on the symptoms, assign the appropriate New York Heart Association (NYHA) Classification or ask the member if their physician has discussed a heart failure classification with them.","Ascertain the member's description of symptoms and, based on the symptoms, assign the appropriate New York Heart Association (NYHA) Classification or ask the member if their physician has discussed a heart failure classification with them.",1
Ask member if he/she drinks alcohol.,Ask member if he/she drinks alcohol.,1
Assess patient and check all that apply:,Assess patient and check all that apply:,1
At what level would you consider your Anxiety/Depression out of control on a scale of 1-10?,At what level would you consider your Anxiety/Depression out of control on a scale of 1-10?,1
At what level would you consider your Fatigue/Sleep/Energy/Endurance/Quality of Life out of control on a scale of 1-10?,At what level would you consider your Fatigue/Sleep/Energy/Endurance/Quality of Life out of control on a scale of 1-10?,1
Attestation Statement,Attestation Statement,1
Average Inter Dialytic Weight Gain (IDWG):,Average Inter Dialytic Weight Gain (IDWG):,1
Aversion to certain food,Aversion to certain food,1
Bathing,Bathing,1
Bathing:,Bathing:,1
Becoming easily annoyed or irritable,Becoming easily annoyed or irritable,1
"Before we continue, may I verify your birth date and home address for privacy purposes, as we may be discussing some of your medical information?",Have fulfillment materials been sent?,0
Being so restless that it is hard to sit still,Have GI disturbances (including GI bleed) been addressed with the member during this call or in the past?,0
Beta-blocker?,Have reversible cardiac risk factors been addressed with the member during this call or in the past?,0
Binge  eating,Have there been any changes in Behavioral Health status:,0
Birth weight category:,Have you added your baby/babies to the insurance plan?,0
Birth weight?,Have you been able to eliminate or minimize your trigger exposure?,0
Breast cancer screening mammogram status:,Have you been diagnosed with Heart Failure?,0
CIDM:,Have you been experienced hot flashes or night sweats?,0
COE Discussion:,Have you been hospitalized for any complications related to this pregnancy?,0
COE(s) Discussed (select all that apply):,Have you been prescribed <STRONG><EM>oral</EM></STRONG> medications for your diabetes?,0
CRS centers reviewed include the following :,Have you been readmitted due to complications since your surgical procedure?,0
Call One type<br>,Have you been screened for colorectal cancer?,0
Can I provide further education on anything related to your pregnancy or baby?,Have you been seen for a follow up appointment?,0
Can member verbalize their medications schedule?,Have you been tested for Group B Strep?,0
"Can member, or person responsible for medication management describe use, dose and effect of medications?",Have you been told you have high blood pressure?,0
Can you tell me what caused you to fall?,Have you completed a diabetic retinopathy/dilated eye exam during the current calendar year?,0
Cancer Center chosen:,Have you considered a 2nd opinion?,0
Cancer program eligibility:,Have you decided if you are going to breast feed or bottle feed?,0
Cancer stage:,Have you decided on a birth control method?,0
Cancer treatment complete?,Have you decided on your strategy for pain management during delivery?,0
Cardiac diagnosis (es) Double Inlet/Outlet Right Ventricle  Select all that apply:,"Before we continue, may I verify your birth date and home address for privacy purposes, as we may be discussing some of your medical information?",0
Cardiac diagnosis(es))  Prematurity Defects  Select all that apply:,Being so restless that it is hard to sit still,0
Cardiac diagnosis(es))  Septal Defects.  Select all that apply:,Beta-blocker?,0
Cardiac diagnosis(es))  Valve Problems Select all that apply:,Binge  eating,0
Cardiac diagnosis(es)) Abnormal Venous Return  Select all the apply:,Birth weight category:,0
Cardiac diagnosis(es)) Aortic Arch Defects Select all that apply:,Birth weight?,0
Cardiac diagnosis(es)) Conduction Defects  Select all that apply:,Breast cancer screening mammogram status:,0
Cardiac diagnosis(es)) Hypoplastic Heart Syndromes  Select all that apply:,Call One type<br>,0
Cardiac diagnosis(es)) Transposition of Blood Vessels Select all that apply:,Can I provide further education on anything related to your pregnancy or baby?,0
Caregiver coping with situation? (early post discharge),Can member verbalize their medications schedule?,0
Caregiver coping with situation? (late post discharge),"Can member, or person responsible for medication management describe use, dose and effect of medications?",0
Carotid Doppler:,Can you tell me what caused you to fall?,0
Check all materials that have been sent:,Cancer Center chosen:,0
Check all reviewed:,Cancer program eligibility:,0
Check below to confirm that you have evaluated member's understanding of their available health benefits/community resources:,Cancer stage:,0
Check below to confirm that you have reviewed these benefits/resources with the individual:,Cancer treatment complete?,0
Check below to indicate that you have provided education on the following topics:,Cardiac diagnosis (es) Double Inlet/Outlet Right Ventricle  Select all that apply:,0
Check below to indicate which of the following benefits/resources you discussed with member:,Cardiac diagnosis(es))  Prematurity Defects  Select all that apply:,0
Check below to indicate which tasks have been completed:,Cardiac diagnosis(es))  Septal Defects.  Select all that apply:,0
Check below to indicate you have provided education on the following topics:,Cardiac diagnosis(es))  Valve Problems Select all that apply:,0
Chewing or spitting out food,Cardiac diagnosis(es)) Abnormal Venous Return  Select all the apply:,0
Climbing Stairs:,Cardiac diagnosis(es)) Aortic Arch Defects Select all that apply:,0
Co-morbidities (select all that apply):,Cardiac diagnosis(es)) Conduction Defects  Select all that apply:,0
"Compared to others your age, how would you describe your health?",Cardiac diagnosis(es)) Hypoplastic Heart Syndromes  Select all that apply:,0
Complications Risk:,Cardiac diagnosis(es)) Transposition of Blood Vessels Select all that apply:,0
Current Assistive Devices needed - Check all that apply:,Caregiver coping with situation? (early post discharge),0
Current Work Status,Caregiver coping with situation? (late post discharge),0
Current treatment plan:,Carotid Doppler:,0
Currently Employed?,Check all materials that have been sent:,0
Daily aspirin?,Check all reviewed:,0
Delivery type:,Check below to confirm that you have evaluated member's understanding of their available health benefits/community resources:,0
Delivery type?,Check below to confirm that you have reviewed these benefits/resources with the individual:,0
Department:,Check below to indicate that you have provided education on the following topics:,0
Describe Caregiver - Check all that apply:,Check below to indicate which of the following benefits/resources you discussed with member:,0
Describe Current Functional Level - Check all that apply:,Check below to indicate which tasks have been completed:,0
Describe Diet - Check all that apply:,Check below to indicate you have provided education on the following topics:,0
Describe IADL Limitations - Check all that apply:,Chewing or spitting out food,0
Describe Psychosocial Barrier - Check all that apply:,CIDM:,0
Describe cognitive issue(s): Check all that apply,Climbing Stairs:,0
Diagnosed with cancer?,COE Discussion:,0
"Did a doctor or other health provider advise you to start, increase, or maintain your level of exercise or physical activity? &nbsp;",Difficulty at home,0
Did member have prior IVF?,Difficulty at work or school,0
Did patient meet criteria for travel and lodging benefit?,Difficulty socially,0
Did patient select the travel and lodging benefit?,Discharge diagnosis (select all that apply):&nbsp;&nbsp; <strong>(NOTE</strong>: Asterisk (*) indicates a condition that may necessitate a Medical Director (MD) referral; does this meet MD referral criteria?),0
Did the member enroll in the BRS program?,Discharge Diagnosis?,0
Did the member receive and understand post op instructions?,Discharge diagnosis?,0
Did the patient have infertility benefits prior to enrollment in RRS?,Discuss Feeding and Nutrition: (6 month),0
Did this pregnancy result from fertility treatments?,Discuss Feeding and Nutrition: (9 month),0
Did you bank your cord blood?,Do any of the below apply to how you are taking your cholesterol lowering medications?,0
Did you educate on the value of a COE?,Do any of the following apply to member? (choose one),0
Did you educate the member on the lifestyle changes that will be required before and after surgery?,"Do any of your medicines cause you problems, for example, a headache, sleepiness or upset stomach?",0
Did you experience any of the following complications during pregnancy?,Do complications exist?,0
Did you have any pregnancy complications prior to delivery?,Do issues exist that could compromise patient / graft survival?,0
Did you hurt yourself when you fell? <br>,Do parents understand what to do when baby is sick and how to cope with common baby issues?,0
Did you provide education on the different procedures?,Do you carry a list of your medications with dosage and frequency?,0
Did you provide steerage?,Do you carry an updated list of your medications?,0
Did you receive a breast pump through your insurance benefits?,Do you carry your rescue inhaler with you at all times?  (Bronchodilator),0
Did you receive treatment for the problem?,Do you check your blood sugars at home as prescribed by your doctor?,0
Did you send the risk score memo to the physician?,"Do you check your feet regularly for any open cuts, sores, swelling or discoloration?",0
Did your baby/babies require intermediate nursery days?,Do you continue to have home health care services?,0
Did your baby/babies stay in the NICU?,Do you currently engage in any recommended activities or exercise as instructed by your doctor?,0
Did your baby/babies stay in the normal newborn nursery?,Do you currently have any open sores or wounds?,0
Did your doctor order any of the following for you after discharge?  Check all that apply.,"Do you ever cough up any ""stuff"" such as mucus or phlegm?",0
Did your doctor provide you with any special dietary instructions?,Do you find that you are bothered by many different symptoms?,0
Difficulty at home,Do you forget to take your medicine?,0
Difficulty at work or school,Do you frequently get up during the night to urinate?,0
Difficulty socially,Do you get annoyed at criticism of your drinking?,0
Discharge Diagnosis?,Do you have a capable (physically and emotionally) caregiver?,0
Discharge diagnosis (select all that apply):&nbsp;&nbsp; <strong>(NOTE</strong>: Asterisk (*) indicates a condition that may necessitate a Medical Director (MD) referral; does this meet MD referral criteria?),Do you have a few moments to talk?,0
Discharge diagnosis?,Do you have a follow-up appointment scheduled with your physician?,0
Discuss Feeding and Nutrition: (6 month),Do you have a follow-up appointment scheduled with your primary care (PCP) or doctor?,0
Discuss Feeding and Nutrition: (9 month),Do you have a follow-up appointment scheduled with your Primary Care Physician (PCP) or doctor?,0
Do any of the below apply to how you are taking your cholesterol lowering medications?,Do you have a peak flow meter?,0
Do any of the following apply to member? (choose one),Do you have a plan for times when your condition may worsen?,0
"Do any of your medicines cause you problems, for example, a headache, sleepiness or upset stomach?",Do you have a primary care provider/PCP?,0
Do complications exist?,Do you have a provider?,0
Do issues exist that could compromise patient / graft survival?,Do you have a stomach ulcer?,0
Do parents understand what to do when baby is sick and how to cope with common baby issues?,Do you have all family member/significant other/care giver/emergency phone numbers readily accessible?,0
Do you carry a list of your medications with dosage and frequency?,"Do you have an adequate support system (i.e. family member, caregiver, friend, etc.) to help you through your Palliative Care Program?",0
Do you carry an updated list of your medications?,"Do you have an advance directive in place, like a Living Will or Power of Attorney for Health Care?",0
Do you carry your rescue inhaler with you at all times?  (Bronchodilator),Do you have an allergy to adhesive tape?,0
Do you check your blood sugars at home as prescribed by your doctor?,Do you have an emergency exit plan in case of fire?,0
"Do you check your feet regularly for any open cuts, sores, swelling or discoloration?",Do you have an evacuation plan in case of a crisis or emergency (fire/disaster)?,0
Do you continue to have home health care services?,Do you have any advanced directives in place such as a living will or durable power of attorney for health care?,0
Do you currently engage in any recommended activities or exercise as instructed by your doctor?,Do you have any allergies?,0
Do you currently have any open sores or wounds?,Do you have any chronic conditions which might affect your balance?<br>,0
"Do you ever cough up any ""stuff"" such as mucus or phlegm?","Do you have any Cognitive limitations/impairment (memory loss, brain injury)?",0
Do you ever drink alcohol?,Do you ever drink alcohol?,1
Do you ever have trouble finding help when you need it?,Do you ever have trouble finding help when you need it?,1
"Do you experience chest pain, angina, heart arrhythmia or irregular heartbeat?","Do you experience chest pain, angina, heart arrhythmia or irregular heartbeat?",1
Do you experience chest pain?,Do you experience chest pain?,1
Do you experience urinary urgency or frequency?,Do you experience urinary urgency or frequency?,1
"Do you feel dizzy when you change position, such as when you stand up from sitting?","Do you feel dizzy when you change position, such as when you stand up from sitting?",1
"Do you feel dizzy when you change your position, such as, when you stand up from sitting?","Do you feel dizzy when you change your position, such as, when you stand up from sitting?",1
Do you feel like your pain is managed at an acceptable level?,Do you feel like your pain is managed at an acceptable level?,1
Do you feel persistent fatigue despite a good nights sleep or does fatigue interfere with your usual activities?,Do you feel persistent fatigue despite a good nights sleep or does fatigue interfere with your usual activities?,1
Do you feel safe at home and in your neighborhood?,Do you feel safe at home and in your neighborhood?,1
Do you feel safe in your home and with your caregivers?,Do you feel safe in your home and with your caregivers?,1
"Do you feel that any of your medications cause you trouble, like dizziness, tiredness or confusion?","Do you feel that any of your medications cause you trouble, like dizziness, tiredness or confusion?",1
Do you feel that member's chosen footwear poses a hazard?,Do you feel that member's chosen footwear poses a hazard?,1
Do you feel that this pattern of drinking could be a problem for you?,Do you feel that this pattern of drinking could be a problem for you?,1
Do you feel unsteady in the shower or when you're getting in and out of the bathtub?,Do you feel unsteady in the shower or when you're getting in and out of the bathtub?,1
Do you feel you have enough support at home?,Do you feel you have enough support at home?,1
"Do you feel you're prepared to continue meeting your care needs if there were a disaster, like an earthquake, tornado, winter storm or flood?",Do you feel your family is impacted by your (say actual diagnosis or circumstance)?,1
Do you feel your family is impacted by your (say actual diagnosis or circumstance)?,Do you feel your health conditions are significantly affecting your quality oflife?,1
Do you feel your health conditions are significantly affecting your quality oflife?,"Do you feel you're prepared to continue meeting your care needs if there were a disaster, like an earthquake, tornado, winter storm or flood?",1
"Do you feel/believe your cultural beliefs/values impact the care you receive? For example ethnic, spiritual, religious beliefs, upbringing and personal values, social influences.","Do you feel/believe your cultural beliefs/values impact the care you receive? For example ethnic, spiritual, religious beliefs, upbringing and personal values, social influences.",1
Do you find that you are bothered by many different symptoms?,"Do you have any concerns regarding your sexual function (activity, relationship)?",0
Do you forget to take your medicine?,Do you have any Hearing limitation/impairment?,0
Do you frequently get up during the night to urinate?,Do you have any medication(s) that are already prescribed to manage your Anxiety/Depression?,0
Do you get annoyed at criticism of your drinking?,Do you have any medication(s) that are already prescribed to manage your Fatigue/Sleep/Energy/Endurance/Quality of Life?,0
Do you have a capable (physically and emotionally) caregiver?,Do you have any medication(s) that are already prescribed to manage your pain?,0
Do you have a few moments to talk?,Do you have any other conditions currently being treated by a Physician?,0
Do you have a follow-up appointment scheduled with your Primary Care Physician (PCP) or doctor?,Do you have any physical or safety concerns with weighing yourself?,0
Do you have a follow-up appointment scheduled with your physician?,"Do you have any physical safety concerns where you live? (natural disasters, family issues, loss of power impacting devices)",0
Do you have a follow-up appointment scheduled with your primary care (PCP) or doctor?,Do you have any problems with your footwear?,0
Do you have a peak flow meter?,"Do you have any Psychosocial limitations? (finances, no transportation resource for medical purposes, lack community support, child/dependent adult care issues)",0
Do you have a plan for times when your condition may worsen?,Do you have any questions about the medications or how to give them?,0
Do you have a primary care provider/PCP?,Do you have any questions about your medical or other benefits available to you?,0
Do you have a provider?,Do you have any questions or concerns about using the equipment?,0
Do you have a stomach ulcer?,Do you have any questions regarding your discharge instructions?,0
Do you have all family member/significant other/care giver/emergency phone numbers readily accessible?,"Do you have any questions, concerns or issues with your diabetes that has not been addressed by your doctor, that I can assist you with?",0
"Do you have an adequate support system (i.e. family member, caregiver, friend, etc.) to help you through your Palliative Care Program?","Do you have any questions, concerns or issues with your diabetes that have not been addressed&nbsp;by your doctor that I can assist you&nbsp;with?",0
"Do you have an advance directive in place, like a Living Will or Power of Attorney for Health Care?",Do you have any questions/concerns about how to use your assistive device?,0
Do you have an allergy to adhesive tape?,Do you have any safety concerns regarding your home/living arrangement?,0
Do you have an emergency exit plan in case of fire?,Do you have any transportation limitations?,0
Do you have an evacuation plan in case of a crisis or emergency (fire/disaster)?,Do you have any trouble getting around at home or outside your home?,0
"Do you have any Cognitive limitations/impairment (memory loss, brain injury)?","Do you have any trouble remembering, concentrating or making decisions?",0
Do you have any Hearing limitation/impairment?,"Do you have any trouble seeing, without the help of glasses or other equipment?",0
"Do you have any Psychosocial limitations? (finances, no transportation resource for medical purposes, lack community support, child/dependent adult care issues)",Do you have any trouble seeing?,0
"Do you have any Vision limitations/impairment? (require glasses, legally blind)",Do you have any trouble with your hearing?,0
Do you have any advanced directives in place such as a living will or durable power of attorney for health care?,Do you have any type of heart disease or irregular heartbeat?,0
Do you have any allergies?,"Do you have any Vision limitations/impairment? (require glasses, legally blind)",0
Do you have any chronic conditions which might affect your balance?<br>,"Do you have concerns about your weight, either your weight being too low, too high or not being able to gain weight you may have lost?",0
"Do you have any concerns regarding your sexual function (activity, relationship)?",Do you have diabetes?,0
